sn,key_topic_id,key_topic,performance_signals_id,performance_signals,performance_signals_weightage,document_reques_id,document_request,interview_question_id,interview_question,data_point_id,data_point,assesment_criteria_id,assessment_criteria,assessment_criteria_weightage,assessment_guidelines/formula,scoring_matrix,scoring_matrix_1,scoring_matrix_2,scorecard_visualization,none,section_id,input_type,devco_id,description,default_value
#REF!,,,8,,,39.0,,31,,199,,50,,,,Good,Satisfactory,Needs Improvement,,,Development & Construction,Text,admin,,
1,DC-KT-01,Construction,DC-PS-01,Construction Planning Maturity,0.7,28.0,Construction Environmental and Social Management Plan (including Environmental Permit Register),,,DC-DP-01,Environmental mitigation measures included in CESMP (%),DC-AC-01,% of CESMP mitigation measures which align with ESIA*,0.1,Environmental mitigation measures included in CESMP / Environmental mitigation measures recommended in ESIA,>80%,60-80%,<60%,Used for Assessment and Dashboard,,Development & Construction,%,admin,,
2,DC-KT-01,Construction,DC-PS-01,Construction Planning Maturity,0.7,28.0,Construction Environmental and Social Management Plan (including Environmental Permit Register),,,DC-DP-02,Environmental mitigation measures recommended in ESIA (%) ,DC-AC-01,% of CESMP mitigation measures which align with ESIA*,0.1,Environmental mitigation measures included in CESMP / Environmental mitigation measures recommended in ESIA,>80%,60-80%,<60%,Used for Assessment and Dashboard,,Development & Construction,%,admin,,
3,DC-KT-01,Construction,DC-PS-01,Construction Planning Maturity,0.7,29.0,Construction Execution Plan,,,DC-DP-03,Update of construction execution plan (Text),DC-AC-02,Has the Construction Execution Plan been updated to reflect the latest stage of construction?,0.15,Update of construction execution plan,Yes,,No,Used for Assessment,Used for Assessment & Dashboard,Development & Construction,dd/mm/yy,admin,,
,DC-KT-01,Construction,DC-PS-01,Construction Planning Maturity,0.7,29.0,Construction Execution Plan,,,,Date & Revision of Construction sequencing & staging & site access plans (dd/mm/yy),,,,,,,,Archived,,Development & Construction,dd/mm/yy,admin,,
4,DC-KT-01,Construction,DC-PS-01,Construction Planning Maturity,0.7,29.0,Construction Execution Plan,,,DC-DP-04,Review and approval of Construction sequence & method statement (Text),DC-AC-03,Has the construction sequence and method statement been reviewed and approved?,0.15,Review and approval of construction sequence and method statement,Yes,,No,Used for Assessment and Dashboard,,Development & Construction,Text,admin,,
5,DC-KT-01,Construction,DC-PS-01,Construction Planning Maturity,0.7,30.0,Site and Logistics Plan (including traffic simulations),DC-IQ-01,Have there been any shortfall in the Logistics Planning recognized after commencement of construction? And what mitigation measures have been put in place. Provide example,DC-DP-05,"Planned Area provision for site offices, amenities, laydown areas,  storage facilities, workforce accommodations (Text)",DC-AC-04,Is total land acquisition sufficient to achieve the area required for construction site logistics?,0.1,Sufficient land acquired,Yes,,No,Used for Assessment and Dashboard,,Development & Construction,Text,admin,,
6,DC-KT-01,Construction,DC-PS-01,Construction Planning Maturity,0.7,30.0,Site and Logistics Plan (including traffic simulations),DC-IQ-01,Have there been any shortfall in the Logistics Planning recognized after commencement of construction? And what mitigation measures have been put in place. Provide example,DC-DP-06,"Actual Area provision for site offices, amenities, laydown areas, storage facilities, workforce accommodations (Text)",DC-AC-04,Is total land acquisition sufficient to achieve the area required for construction site logistics?,0.1,Sufficient land acquired,Yes,,No,Used for Assessment and Dashboard,,Development & Construction,Text,admin,,
7,DC-KT-01,Construction,DC-PS-01,Construction Planning Maturity,0.7,30.0,Site and Logistics Plan (including traffic simulations),DC-IQ-01,Have there been any shortfall in the Logistics Planning recognized after commencement of construction? And what mitigation measures have been put in place. Provide example,DC-DP-07,No. of Site Access Required (No.),,,,,,,,Archived,Used for Assessment,Development & Construction,No.,admin,,
8,DC-KT-01,Construction,DC-PS-01,Construction Planning Maturity,0.7,30.0,Site and Logistics Plan (including traffic simulations),DC-IQ-01,Have there been any shortfall in the Logistics Planning recognized after commencement of construction? And what mitigation measures have been put in place. Provide example,DC-DP-08,No. of Site Access Provided (No.),,,,,,,,Archived,Used for Assessment,Development & Construction,No.,admin,,
